No    | English        | Vietnamese     
2490  | salty          | chứa vị muối, có muối, mặn
2491  | same           | đều đều, đơn điệu; cũng như thế, vẫn cái đó
2492  | sample         | mẫu,hàngmẫu    
2493  | sand           | cát            
2494  | satisfaction   | sựlàmcho thỏa mãn,toạinguyệnsựtrảnợ,bồithường
2495  | satisfied      | cảm thấy hài lòng, vưa ý, thoả mãn
2496  | satisfy        | làm thỏa mãn, hài lòng; trả (nợ), chuộc tội
2497  | satisfying     | đem lại sự thỏa mãn, làm thỏa mãn, làm vưa ý
2498  | saturday       | thứ 7          
2499  | sauce          | nước xốt, nước chấm
2500  | save           | cứu, lưu       
2501  | saving         | sự cứu, sự tiết kiệm
2502  | say            | nói            
2503  | scale          | vảy (cá..), tỷ lệ
2504  | scare          | làm kinh hãi, sợ hãi, dọa; sự sợ hãi, sự kinh hoàng
2505  | scared         | bị hoảng sợ, bị sợ hãi
2506  | scene          | cảnh, phong cảnh
2507  | schedule       | kế hoạch làm việc, bản liệt kê; lên thời khóa biểu, lên kế hoạch
2508  | scheme         | sự sắp xếp, sự phối hợp; kế hoạch thực hiện; lược đồ, sơ đồ
2509  | school         | đàn cá, bầy cá, trường học, học đường
2510  | science        | khoa học, khoa học tự nhiên
2511  | scientific     | (thuộc) khoa học, có tính khoa họ
2512  | scientist      | nhà khoa học   
2513  | scissors       | cái kéo        
2514  | score          | điểm số, bản thắng, tỷ số; đạt được, thành công, cho điểm
2515  | scratch        | cào,làmxước da; sự cào, sựtrầyxước da
2516  | scream         | gào thét, kêu lên; tiếng thét, tiếng kêu to
2517  | screen         | màn che, màn ảnh, màn hình; phim ảnh nói chung
2518  | screw          | đinh vít, đinh ốc; bắt vít, bắt ốc
2519  | sea            | biển           
2520  | seal           | hảicẩu;sănhảicẩu
2521  | search         | sự tìm kiếm, sự thăm dò, sự điều tra; tìm kiếm, thăm dò, điều tra
2522  | season         | mùa            
2523  | seat           | ghế, chỗ ngồi  
2524  | second         | thứ hai, ở vị trí thứ 2, thứ nhì; người về nhì
2525  | secondary      | trung học, thứ yếu
2526  | secret         | bí mật; điều bí mật
2527  | secretary      | thư ký         
2528  | secretly       | bí mật, riêng tư
2529  | section        | mục, phần      
2530  | sector         | khu vực, lĩnh vực
2531  | secure         | chắc chắn, đảm bảo; bảo đảm, giữ an ninh
2532  | security       | sự an toàn, sự an ninh
2533  | see            | nhìn, nhìn thấy, quan sát
2534  | seed           | hạt, hạt giống 
2535  | seek           | tìm, tìm kiếm, theo đuổi
2536  | select         | chọn lựa, chọn lọc
2537  | selection      | sự lựa chọn, sự chọc lọc
2538  | self           | bản thân mình  
2539  | sell           | bán            
2540  | senate         | thượng nghi viện, ban giám hiệu
2541  | senator        | thượng nghị sĩ 
2542  | send           | gửi, phái đi   
2543  | senior         | nhiều tuổi hơn, dành cho trẻ em trên 11t; người lớn tuổi hơn, sinh viên năm cuối trường trung học, cấo đẳng
2544  | sense          | giác quan, tri giác, cảm giác
2545  | sensible       | có óc xét đoán; hiểu, nhận biết được
2546  | sensitive      | dễ bị thương, dễ bị hỏng; dễ bị xúc phạm
2547  | sentence       | câu            
2548  | separate       | khác nhau, riêng biệt; làm rời, tác ra, chia tay
2549  | separated      | ly thân        
2550  | separately     | không cùng nhau, thành người riêng, vật riêng
2551  | separation     | sự chia cắt, phân ly, sự chia tay, l thân
2552  | september      | tháng 9        
2553  | series         | loạt, dãy, chuỗi
2554  | serious        | đứng đắn, nghiêm trang
2555  | seriously      | đứng đắn, nghiêm trang
2556  | servant        | người hầu, đầy tớ
2557  | serve          | phục vụ, phụng sự
2558  | service        | sự phục vụ, sự hầu hạ
2559  | session        | buổi họp, phiên họp, buổi, phiên
2560  | set            | bộ, bọn, đám, lũ; đặt để, bố trí
2561  | settle         | giải quyết, dàn xếp, hòa giải, đặt, bố trí
2562  | several        | vài            
2563  | severe         | khắt khe,gay gắt(tháiđộ, cưxử);giảndị,mộc mạc (kiểucách,trang phục, dung nhan)
2564  | severely       | khắt khe,gay gắt(tháiđộ, cưxử);giảndị,mộc mạc (kiểucách,trang phục, dung nhan)
2565  | sew            | may, khâu      
2566  | sewing         | sự khâu, sự may vá
2567  | sex            | giới, giống    
2568  | sexual         | giới tính, các vấn đề sinh lý
2569  | sexually       | giới tính, các vấn đề sinh lý
2570  | shade          | bóng, bóng tối 
2571  | shadow         | bóng, bóng tối, bóng râm, bóng mát
2572  | shake          | rung, lắc, giũ; sự rung, sự lắc, sự giũ
2573  | shall          | dự đoán tương lai: sẽ
2574  | shallow        | nông, cạn      
2575  | shame          | sựxấu hổ, thẹnthùng,sựngượng
2576  | shape          | hình, hình dạng, hình thù
2577  | shaped         | có hình dáng được chỉ rõ
2578  | share          | đónggóp,thamgia, chia sẻ;phần đónggóp,phầnthamgia,phần chia sẻ
2579  | sharp          | sắc, nhọn, bén 
2580  | sharply        | sắc, nhọn, bén 
2581  | shave          | cạo (râu), bào, đẽo (gỗ)
2582  | she            | nó, bà ấy, chị ấy, cô ấy...
2583  | sheep          | con cừu        
2584  | sheet          | chăn, khăn trải giường; lá, tấm, phiến, tờ
2585  | shelf          | kệ, ngăn, giá  
2586  | shell          | vỏ, mai; vẻ bề ngoài
2587  | shelter        | sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ
2588  | shift          | đổichỗ,dờichỗ,chuyển,giao; sựthấyđổi, sựluânphiên
2589  | shine          | chiếu sáng, tỏa sáng
2590  | shiny          | sáng chói, bóng
2591  | ship           | tàu, tàu thủy  
2592  | shirt          | áo sơ mi       
2593  | shock          | sự đụng chạm, va chạm, sự kích động, sự choáng; chạm mạnh, va mạnh, gây sốc
2594  | shocked        | bị kích động, bị va chạm, bị sốc
2595  | shocking       | gây ra căm phẫn, tồi tệ, gây kích động
2596  | shoe           | giày           
2597  | shoot          | vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra
2598  | shooting       | sự bắn, sự phóng đi
2599  | shop           | cửa hàng; đi mua hàng, đi chợ
2600  | shopping       | sự mua sắm     
2601  | short          | ngắn, cụt      
2602  | shortly        | trong thời gian ngắn, sớm
2603  | shot           | đạn, viên đạn  
2604  | should         | nên            
2605  | shoulder       | vai            
2606  | shout          | hò hét, reo hò; sự la hét, sự hò reo
2607  | show           | biểu diễn, trưng bày; sự biểu diễn sự bày tỏ
2608  | shower         | vòi hoa sen, sự tắm vòi hoa sen
2609  | shut           | đóng, khép,đậy;tínhkhépkín
2610  | shy            | nhút nhát, e thẹn
2611  | sick           | ốm, đau, bệnh  
2612  | side           | mặt, mặt phẳng 
2613  | sideways       | ngang, từ một bên; sang bên
2614  | sight          | cảnh đẹp; sự nhìn
2615  | sign           | dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu
2616  | signal         | dấu hiệu, tín hiệu; ra hiệu, báo hiệu
2617  | signature      | chữ ký         
2618  | significant    | nhiều ý nghĩa, quan trọng
2619  | significantly  | đáng kể        
2620  | silence        | sự im lặng, sự yên tĩnh
2621  | silent         | im lặng, yên tĩnh
2622  | silk           | tơ, chỉ, lụa   
2623  | silly          | ngớ ngẩn, ngu ngốc, khờ dại
2624  | silver         | bạc, đồng bạc; làm bằng bạc, trắng như bạc
2625  | similar        | giống như, tương tự như
2626  | similarly      | tương tự, giống nhau
2627  | simple         | đơn, đơn giản, dễ dàng
2628  | simply         | một cách dễ dàng, giản dị
2629  | since          | từ, từ khi, từ lúc đó; từ đó, từ lúc ấy
2630  | sincere        | thật thà, thẳng thắng, chân thành
2631  | sincerely      | một cách chân thành
2632  | sing           | hát, ca hát    
2633  | singer         | ca sĩ          
2634  | singing        | sự hát, tiếng hát
2635  | single         | đơn, đơn độc, đơn lẻ
2636  | sink           | chìm, lún, đắm 
2637  | sir            | xưng hô lịch sự ngài, ông
2638  | sister         | chị, em gái    
2639  | sit            | ngồi. sit down: ngồi xuống
2640  | situation      | hoàn cảnh, địa thế, vị trí
2641  | size           | cỡ. đã được định cỡ
2642  | skilful        | tài giỏi, khéo tay
2643  | skilfully      | tài giỏi, khéo tay
2644  | skill          | kỹ năng, kỹ sảo
2645  | skilled        | có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề
2646  | skin           | da, vỏ         
2647  | skirt          | váy, đầm       
2648  | sky            | trời, bầu trời 
2649  | sleep          | ngủ; giấc ngủ  
2650  | sleeve         | tay áo, ống tay
2651  | slice          | miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng
2652  | slide          | trượtc,chuyểnđộngnhẹ,lướtqua
2653  | slight         | mỏng manh, thon, gầy
2654  | slightly       | mảnh khảnh, mỏng manh, yếu ớt
2655  | slip           | trượt, tuột, trôi qua, chạy qua
2656  | slope          | dốc, đường dốc, độ dốc; nghiêng, dốc
2657  | slow           | chậm, chậm chạp
2658  | slowly         | một cách chậm chạp, chậm dần
2659  | small          | nhỏ, bé        
2660  | smart          | mạnh,ác liệt,khéoléo,khônkhéo
2661  | smash          | đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh
2662  | smell          | ngửi; sự ngửi, khứu giác
2663  | smile          | cười, mỉm cười; nụ cười, vẻ tươi cười
2664  | smoke          | khói, hơi thuốc; hút thuốc, bốc khói, hơi
2665  | smoking        | sự hút thuốc   
2666  | smooth         | nhẵn, trơn, mượt mà
2667  | smoothly       | một cách êm ả, trôi chảy
2668  | snake          | con rắn; người nham hiểm, xảo tr
2669  | snow           | tuyết; tuyết rơi
2670  | so             | như vậy, như thế; vì thế, vì vậy, vì thế cho nên so thất để, để cho, để mà
2671  | soap           | xà phòng       
2672  | social         | có tính xã hội 
2673  | socially       | có tính xã hội 
2674  | society        | xã hội         
2675  | sock           | tất ngắn, miếng lót giày
2676  | soft           | mềm, dẻo       
2677  | softly         | một cách mềm dẻo
2678  | software       | phần mềm (m.tính)
2679  | soil           | đất trồng; vết bẩn
2680  | soldier        | lính, quân nhân
2681  | solid          | rắn; thể rắn, chất rắn
2682  | solution       | sự giải quyết, giải pháp
2683  | solve          | giải, giải thích, giải quyết
2684  | some           | một it, một vài
2685  | somebody       | người nào đó   
2686  | somehow        | không biết làm sao, bằng cách này hay cách khác
2687  | something      | một điều gì đó, mộtviệcgì đó,mộcái gìđó
2688  | sometimes      | thỉnh thoảng, đôi khi
2689  | somewhat       | đến mức độnàođó, hơi, mộtchút
2690  | somewhere      | nơi nào đó. đâu đó
2691  | son            | con trai       
2692  | song           | bài hát        
2693  | soon           | sớm, chẳng bao lâu nữa. as soon as ngay khi
2694  | sore           | đau, nhức      
2695  | sorry          | xinlỗi,lấy làmtiếc,lấy làmbuồn
2696  | sort           | thứ, hạng loại; lựa chọn, sắp xếp, phân loại
2697  | soul           | tâm hồn, tâm trí, linh hồn
2698  | sound          | âmthanh;nghe   
2699  | soup           | xúp, canh, cháo
2700  | sour           | chua, có vị giấm
2701  | source         | nguồn          
2702  | south          | phươngnam, hướng nam;ởphíanam; hướngvềphíanam
2703  | southern       | thuộc phương nam
2704  | space          | khoảng trống, khoảngcách,khônggian
2705  | spare          | thưa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng
2706  | speak          | nói            
2707  | speaker        | người nói, người diễn thuyết
2708  | special        | đặc biệt, riêng biệt
2709  | specialist     | chuyên gia, chuyên viên
2710  | specially      | đặc biệt, riêng biệt
2711  | specific       | đặc trưng, riêng biệt
2712  | specifically   | đặc trưng, riêng biệt
2713  | speech         | sự nói, khả năng nói, lời nói, cách nói, bài nói
2714  | speed          | tốc độ, vận tốc
2715  | spell          | đánhvần;sựthuhút,sựquyếnrũsaymê
2716  | spelling       | sự viết chính tả
2717  | spend          | tiêu, xài      
2718  | spice          | gia vị         
2719  | spicy          | có gia vị      
2720  | spider         | con nhện       
2721  | spin           | quay, quay tròn
2722  | spirit         | tinh thần, tâm hồn, linh hồn
2723  | spiritual      | (thuộc) tinh thần, linh hồn
2724  | spite          | sự giận, sự hận thù; in spite of: mặc dù, bất chấp
2725  | split          | chẻ, tách,chia ra; sựchẻ,sự tách sự chiara
2726  | spoil          | cướp, cướp đọat
2727  | spoken         | nói theo1 cáchnàođó
2728  | spoon          | cái thìa       
2729  | sport          | thể thao       
2730  | spot           | dấu, đốm, vết  
2731  | spray          | máy, ống, bình phụt, bơm, phun; bơm, phun, xịt
2732  | spread         | trải, căng ra, bày ra; truyền bá
2733  | spring         | mùa xuân       
2734  | square         | vuông, vuông vắn; dạng hình vuông, hình vuông
2735  | squeeze        | ép,vắt,xiết;sự ép, sựvắt,sựxiết
2736  | stable         | ổn định, bình tĩnh, vững vàng; chuồng ngựa
2737  | staff          | gậy            
2738  | stage          | tầng, bệ, sân khấu, giai đoạn
2739  | stair          | bậc thang      
2740  | stamp          | tem; dán tem   
2741  | stand          | đứng, sự đứng. stand up: đứng đậy
2742  | standard       | tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn
2743  | star           | ngôi sao, dán sao, trang trí hình sao, đánh dấu sao
2744  | stare          | nhìm chằm chằm; sự nhìn chằm chằm
2745  | start          | bắt đầu, khởi động; sự bắt đầu, s khởi đầu, khởi hành
2746  | state          | nhànước,quốcgia,chính quyền;(thuộc)nhànước, có liênquanđếnnhà nước;phátbiểu,tuyênbố
2747  | statement      | sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày
2748  | station        | trạm, điểm, đồn
2749  | statue         | tượng          
2750  | status         | tình trạng     
2751  | stay           | ở lại, lưu lại; sự ở lại, sự lưu lại
2752  | steadily       | vững chắc, vững vàng, kiên định
2753  | steady         | vững chắc, vững vàng, kiến định
2754  | steal          | ăn cắp, ăn trộm
2755  | steam          | hơi nước       
2756  | steel          | thép, ngành thép
2757  | steep          | dốc, dốc đứng  
2758  | steeply        | dốc, cheo leo  
2759  | steer          | lái (tàu, ô tô...)
2760  | step           | bước; bước, bước đi
2761  | stick          | đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
2762  | sticky         | dính; sánh; bầy nhầy, nhớp nháp
2763  | stiff          | cứng, cứng rắn, kiên quyết
2764  | stiffly        | cứng, cứng rắn, kiên quyết
2765  | still          | đứng yên; vẫn, vẫn còn
2766  | sting          | châm, chích, đốt; ngòi, vòi (ong, muỗi), nọc (rắn); sự châm, chích..
2767  | stir           | khuấy,đảo      
2768  | stock          | kho sự trữ, hàng dự trữ, vốn
2769  | stomach        | dạ dày         
2770  | stone          | đá             
2771  | stop           | dừng,ngưng,nghỉ,thôi;sự dừng, sựngưng,sự đỗlại
2772  | store          | cửa hàng, kho hàng; tích trữ, cho vào kho
2773  | storm          | cơn giông, b~o 
2774  | story          | chuyện, câu chuyện
2775  | stove          | bếp lò, lò sưởi
2776  | straight       | thẳng, không cong
2777  | strain         | sự căng thẳng, sự căng
2778  | strange        | xa lạ, chưa quen
2779  | strangely      | lạ, xa lạ, chưa quen
2780  | stranger       | người lạ       
2781  | strategy       | chiến lược     
2782  | stream         | dòng suối      
2783  | strength       | sức mạnh, sức khỏe
2784  | stress         | sự căng thẳng; căng thẳng, ép, làm căng
2785  | stressed       | bị căng thẳng, bị ép, bị căng
2786  | stretch        | căng ra, duỗi ra, kéo dài ra
2787  | strict         | nghiêm khắc, chặt chẽ,, khắt khe
2788  | strictly       | một cách nghiêm khắc
2789  | strike         | đánh, đập, bãi công, đình công; cuộc bãi công, cuộc đình công
2790  | striking       | nổi bật, gây ấn tượng
2791  | string         | dây, sợi dây   
2792  | strip          | cởi, lột (quần áo); sự cởi quần áo
2793  | stripe         | sọc, vằn, viền 
2794  | striped        | có sọc, có vằn 
2795  | stroke         | cú đánh, cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve
2796  | strong         | khỏe, mạnh, bền, vững, chắc chắ
2797  | strongly       | khỏe, chắc chắn
2798  | structure      | kết cấu, cấu trúc
2799  | struggle       | đấu tranh; cuộc đấu tranh, cuộc chiến đấu
2800  | student        | sinh viên      
2801  | studio         | xưởng phim, trường quay; phòng thu
2802  | study          | sự học tập, sự nghiên cứu; học tập, nghiên cứu
2803  | stuff          | chất liệu, chất
2804  | stupid         | ngu ngốc, ngu đần, ngớ ngẩn
2805  | style          | phong cách, kiểu, mẫu, loại
2806  | subject        | chủ đề, đề tài; chủ ngữ
2807  | substance      | chất liệu; bản chất; nội dung
2808  | substantial    | thực tế, đáng kể, quan trọng
2809  | substantially  | về thực chất, về căn bản
2810  | substitute     | người, vật thay thế; thay thế
2811  | succeed        | nối tiếp, kế tiếp; kế nghiệp, kế vị
2812  | success        | sự thành công, sự thành đạt
2813  | successful     | thành công, thắng lợi, thành đạt
2814  | successfully   | thành công, thắng lợi, thành đạt
2815  | such           | như thế, như vậy, như là. such as đến nỗi, đến mức
2816  | suck           | bú, hút; hấp thụ, tiếp thu
2817  | sudden         | thình lình, đột ngột
2818  | suddenly       | thình lình, đột ngột
2819  | suf            | phố, đường phố 
2820  | suffer         | chịu đựng, chịu thiệt hại, đấu khổ
2821  | suffering      | sự đau đớn, sự đau khổ
2822  | sufficient     | (+ for) đủ, thích đáng
2823  | sufficiently   | đủ, thích đáng 
2824  | sugar          | đường          
2825  | suggest        | đề nghị, đề xuất; gợi
2826  | suggestion     | sự đề nghị, sự đề xuất, sự khêu gợi
2827  | suit           | bộ com lê, trang phục; thích hợp, quen, hợp với
2828  | suitable       | hợp, phù hợp, thích hợp với
2829  | suitcase       | va li          
2830  | suited         | hợp, phù hợp, thích hợp với
2831  | sum            | tổng, toàn bộ  
2832  | summary        | bản tóm tắt    
2833  | summer         | mùa hè         
2834  | sun            | mặt trời       
2835  | sunday         | chủ nhật       
2836  | superior       | cao, chất lượng cao
2837  | supermarket    | siêu thị       
2838  | supply         | sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế
2839  | support        | sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
2840  | supporter      | vật chống đỡ; người cổ vũ, người ủng hộ
2841  | suppose        | cho rằng, tin rằng, nghĩ rằng
2842  | sure           | chắc chắn, xác thực. make sure chắc chắn, làm cho chắc chắn
2843  | surely         | chắc chắn      
2844  | surface        | mặt, bề mặt    
2845  | surname        | họ             
2846  | surprise       | sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên, gây bất ngờ
2847  | surprised      | ngạc nhiên (+ at)
2848  | surprising     | làm ngạc nhiên, làm bất ngờ
2849  | surprisingly   | làm ngạc nhiên, làm bất ngờ
2850  | surround       | vây quanh, bao quanh
2851  | surrounding    | sự vây quanh, sự bao quanh
2852  | surroundings   | vùng xung quanh, môi trường xung quanh
2853  | survey         | sự nhìn chung, sự khảo sát; quan sát, nhìn chung, khảo sát, nghiên cứu
2854  | survive        | sống lâu hơn, tiếp tục sống, sống sót
2855  | suspect        | nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
2856  | suspicion      | sự nghi ngờ, sự ngờ vực
2857  | suspicious     | có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
2858  | swallow        | nuốt, nuốt chửng
2859  | swear          | chửi rủa, nguyền rủa; thề, hứa
2860  | swearing       | lờithề,lờinguyềnrủa,lờithềhứa
2861  | sweat          | mồ hôi; đổ mồ hôi
2862  | sweater        | người ra mồ hôi,, kẻ bóc lột lấo động
2863  | sweep          | quét           
2864  | sweet          | ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
2865  | swell          | phồng, sưng lên
2866  | swelling       | sự sưng lên, sự phồng ra
2867  | swim           | bơi lội        
2868  | swimming       | sự bơi lội     
2869  | swing          | sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc
2870  | switch         | côngtắc, roi;tắt,bật,đánh bằnggậy,roi. switchsthoffngắtđiện. switchsthon bậtđiện
2871  | swollen        | sưng phồng, phình căng
2872  | symbol         | biểu tượng, ký hiệu
2873  | sympathetic    | đồngcảm,đángmến,dễthương
2874  | sympathy       | sự đồng cảm, sự đồng ý
2875  | system         | hệ thống, chế độ
2876  | table          | cái bàn        
2877  | tablet         | tấm, bản,thẻphiến
2878  | tackle         | giải quyết, khắc phục, bàn thảo; đồ dùng, dụng cụ
2879  | tail           | đuôi, đoạn cuối
2880  | take           | sự cầm nắm, sự lấy. take sth off: cởi, bỏ cái gì, lấy đi cái gì
2881  | talk           | nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận
2882  | tall           | cao            
2883  | tank           | thùng, két, bể 
2884  | tap            | mở vòi, đóng vòi; vòi, khóa
2885  | tape           | băng, băng ghi âm; dải, dây
2886  | target         | bia, mục tiêu, đích
2887  | task           | nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
2888  | taste          | vị, vị giác; nếm
2889  | tax            | thuế; đánh thuế
2890  | taxi           | xe tắc xi      
2891  | tea            | cây chè, trà, chè
2892  | teach          | dạy            
2893  | teacher        | giáo viên      
2894  | teaching       | sự dạy, công việc dạy học
2895  | team           | đội, nhóm      
2896  | tear           | xé, làm rắch; chỗ rách, miếng xe; nước mắt
2897  | technical      | (thuộc) kỹ thuật, chuyên môn
2898  | technique      | kỹ sảo, kỹ thuật, phương pháp kỹ thuật
2899  | technology     | kỹ thuật học, công nghệ học
2900  | telephone      | máy điện thoại, gọi điện thoại
2901  | television     | vô tuyếntruyềnhình
2902  | tell           | nói, nói với   
2903  | temperature    | nhiệt độ       
2904  | temporarily    | tạm            
2905  | temporary      | tạm thời, nhất thời
2906  | tend           | trôngnom,chămsóc,giữgìn,hầuhạ
2907  | tendency       | xu hướng, chiều hướng, khuynh hướng
2908  | tension        | sự căng, độ căng, tình trạng căng
2909  | tent           | lều, rạp       
2910  | term           | giớihạn,kỳhạn,khóa,kỳhọc
2911  | terrible       | khủng khiếp, ghê sợ
2912  | terribly       | tồi tệ, không chịu nổi
2913  | test           | bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra, xét nghiệm, thử nghiệm
2914  | text           | nguyên văn, bản văn, chủ đề, đề
2915  | than           | hơn            
2916  | thank          | cám ơn         
2917  | thanks         | sự cảm ơn, lời cảm ơn
2918  | that           | người ấy, đó, vật ấy, đó; rằng, là
2919  | the            | cái, con, người, ấy này....
2920  | theatre        | rạp hát, nhà hát
2921  | their          | của chúng, của chúng nó, của họ
2922  | theirs         | của chúng, của chúng nó, của họ
2923  | them           | chúng, chúng nó, họ
2924  | theme          | đề tài, chủ đề 
2925  | themselves     | tự chúng, tự họ, tự
2926  | then           | khi đó, lúc đó, tiếp đó
2927  | theory         | lý thuyết, học thuyết
2928  | there          | ở nơi đó, tại nơi đó
2929  | therefore      | bởi vậy, cho nên, vì thế
2930  | they           | chúng, chúng nó, họ; những cái ấ
2931  | thick          | dày; đậm       
2932  | thickly        | dày; dày đặc; thành lớp dày
2933  | thickness      | tính chất dày, độ dày, bề dày
2934  | thief          | kẻ trộm, kẻ cắp
2935  | thin           | mỏng, mảnh     
2936  | thing          | cái, đồ, vật   
2937  | think          | nghĩ, suy nghĩ 
2938  | thinking       | sự suy nghĩ, ý nghĩ
2939  | thirsty        | khát,cảmthấykhát
2940  | this           | cái này, điều này, việc này
2941  | thorough       | cẩn thận, kỹ lưỡng
2942  | thoroughly     | kỹ lưỡng, thấu đáo, triệt để
2943  | though         | dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy
2944  | thought        | sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy
2945  | thread         | chỉ, sợi chỉ, sợi dây
2946  | threat         | sự đe dọa, lời đe dọa
2947  | threaten       | dọa, đe dọa    
2948  | threatening    | sự đe dọa, sự hăm dọa
2949  | throat         | cổ, cổ họng    
2950  | through        | qua, xuyên qua 
2951  | throughout     | khắp, suốt     
2952  | throw          | ném, vứt, quăng. throw sth away: ném đi, vứt đi, liệng đi
2953  | thumb          | ngón tay cái   
2954  | thursday       | thứ 5          
2955  | thus           | như vậy, như thế, do đó
2956  | ticket         | vé             
2957  | tidy           | sạch sẽ,ngăn nắp,gọngàng; làmchosạch sẽ, gọngàng, ngănnắp
2958  | tie            | buộc, cột, trói; dây buộc, dây trói, dây giày. tie sth up có quan hệ mật thiết, gắn chặt
2959  | tight          | kín, chặt, chật
2960  | tightly        | chặt chẽ, sít sao
2961  | till           | chođến khi,tới lúc mà
2962  | time           | thời gian, thì giờ
2963  | timetable      | kế hoạch làm việc, thời gian biểu
2964  | tin            | thiếc          
2965  | tiny           | rất nhỏ, nhỏ xíu
2966  | tip            | đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào
2967  | tire           | làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe
2968  | tired          | mệt, muốn ngủ, nhàm chán
2969  | tiring         | sự mệt mỏi, sự mệt nhọc
2970  | title          | đầu đề, tiêu đề; tước vị, tư cách
2971  | to             | theo hướng, tới
2972  | today          | vào ngày này; hôm nay, ngày nay
2973  | toe            | ngón chân (người)
2974  | together       | cùng nhau, cùng với
2975  | toilet         | nhà vệ sinh; sự trang điểm (rửa mặt, ăn mặc, chải tóc...)
2976  | tomato         | cà chua        
2977  | tomorrow       | vào ngày mai; ngày mai
2978  | ton            | tấn            
2979  | tone           | tiếng, giọng   
2980  | tongue         | lưỡi           
2981  | tonight        | vào đêm nay, vào tối nay; đêm nay, tối nay
2982  | tonne          | tấn            
2983  | too            | cũng           
2984  | tool           | dụng cụ, đồ dùng
2985  | tooth          | răng           
2986  | top            | chóp, đỉnh; đứng đầu, trên hết
2987  | topic          | đề tài, chủ đề 
2988  | total          | tổng cộng, toàn bộ; tổng số, toàn bộ số lượng
2989  | totally        | hoàn toàn      
2990  | touch          | sờ, mó, tiếp xúc; sự sờ, sự mó, s tiếp xúc
2991  | tough          | chắc, bền, dai 
2992  | tour           | cuộc đo du lịch, cuộc đi dạo, chuyến du lịch; đi du lịch
2993  | tourist        | khách du lịch  
2994  | towards        | theo hướng, về hướng
2995  | towel          | khăn tắm, khăn lấu
2996  | tower          | tháp           
2997  | town           | thịtrấn,thịxã,thànhphốnhỏ
2998  | toy            | đồ chơi, đồ trang trí; thể loại đồ chơi
2999  | trace          | phát hiện, tìm thấy, vạch, chỉ ra, phác họa; dấu, vết, một chút
3000  | track          | phầncủa đĩa;đườngmòn,đườngđua
3001  | trade          | thương mại, buôn bán; buôn bán, trao đổi
3002  | trading        | sự kinh doanh, việc mua bán
3003  | tradition      | truyền thống   
3004  | traditional    | theo truyền thống, theo lối cổ
3005  | traditionally  | (thuộc) truyền thống, là truyền thống
3006  | traffic        | sự đi lại, sự giaothông,sựchuyểnđộng
3007  | train          | xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo
3008  | training       | sự dạy dỗ, sựhuấnluyện,sự đào tạo
3009  | transfer       | dời, di chuyển; sự di chuyển, sự dời chỗ
3010  | transform      | thay đổi, biến đổi
3011  | translate      | dịch, biên dịch, phiên dịch
3012  | translation    | sự dịch        
3013  | transparent    | trong suốt; dễ hiểu, sáng sủa
3014  | transport      | sự vận chuyển, sự vận tải; phương tiện đi lại
3015  | trap           | đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lại
3016  | travel         | đi lại, đi du lịch, di chuyển; sự đi, những chuyến đi
3017  | traveller      | người đi, lữ khách
3018  | treat          | đối xử, đối đãi, cư xử
3019  | treatment      | sự đối xử, sự cư xử
3020  | tree           | cây            
3021  | trend          | phương hướng, xu hướng, chiều hướng
3022  | trial          | sự thử nghiệm, cuộc thử nghiệm
3023  | triangle       | hình tam giác  
3024  | trick          | mưu mẹo, thủ đoạn, trò lừa gạt, lừa gạt
3025  | trip           | cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn
3026  | tropical       | nhiệt đới      
3027  | trouble        | điều lo lắng, điều muộn phiền
3028  | trousers       | quần tây       
3029  | truck          | sự trao đổi, sự đổi chác
3030  | truly          | đúng sự thật, đích thực, thực sự
